# Code generated by cmd/gen-cities from GeoNames cities1000 (CC-BY 4.0). DO NOT EDIT.
# Regenerate with `make gen-cities`. Columns: canonical-name<TAB>country<TAB>alias|alias|...
# A trailing '*' marks an alias more than one country claims, counted across the
# WHOLE dump including places too small to appear here. Such an alias states no country.
Shanghai	cn	cankay|gaa ding|ka ting|sagha'i|san'nkae|sanchajus|sangaj|sangay*|sangha'i|sanghae|sanghai|sanghaj|sanghay|sanhaja|sanhajo|sanxay|schanghai|seiynghi|seung hoi|shang hai|shang hai shi|shang-hai|shang-hai-shih|shangai|shangaj|shanghai|shanghai city|shanghay|shanghhay|shanhai|shankhaj|shanxay|sheung hoi|shnghay|shànghǎi|sjanghae|sjanghai|sjanghæ|szanghaj|thuong hai|thượng hải|xangai|zhong guo shang hai|ŝanhajo|şangay|şanghay|şanxay|šanchajus|šangaj|šanghaj|šanhaja|шангај|шанхай
Beijing	cn	bac kinh|baek-ging|baekging|bak ging|bak ping|be'ijim|be'ijina|be'ijinga|behehzhin|bei jing|bei jing shi|beidjin|beijing|beijing city|beijing shi|beising|beixin|beixín|bejdzing|bejdżing|bejing|beyjing|beȝcinȝ|bijiga|bijing|bijinga|bkyn|buggyeong|byjng|bykyn*|byyg'yng|byyzsyng|báe̤k-gĭng|béising|běijīng|bắc kinh|dai dou|pakking|pechin*|pechino|pechinu|pechinum|pecinum|pei-ching|pei-ching-shih|pei-p'ing|pei-p'ing-shih|peken|pekin*|pekin'|pekina*|pekinas|peking*|pekini*|pekino|pekín|pekîn|peping|pequim|pequin|pequín|pet-kin|pet-kîn|peycing|peyjin|pikkin|pkn|pèquin|pékin|péqùin|péycing|yin ging|бейжің|бээжин|бәәҗң балһсн|пекин*|пекинг*|пекін|пекінґ
Shenzhen	cn	bao an|bao'an|cenccen|chhum-chun-su|chhṳ̂m-chun-sṳ|pao-an|pao-an-hsien|sainazaina|sam zan|sein cein|sen-cen|senacena|sencena|sencjen|sencsen|sendzenas|senjeno|senjhena|senzden|senzen|seonjeon si|sham chan|sham chun|sham chun hu|shehn'chzhehn'|shen zhen*|shen zhen shi|shen'chzhen'|shen-ch'uan*|shen-ch'uan-chen|shen-ch'uan-hsu|shen-ch'üan|shen-ch'üan-chen|shen-ch'üan-hsü|shen-chen*|shen-chun*|shendzen|shensen shi|shenzen|shenzhen*|shiem chun|shumchun|shumchün|shundzhun|shynzhyn|shynzyn|shēnzhèn|simcheon*|sng'n|tham quyen|thâm quyến|tschhimtschun|xin an|ŝenĵeno|şençjen|šen-čen|šendženas|šenžden|šenžen|шеньчжень|шенџен|шънджън|шэньчжэнь
Guangzhou	cn	cantao|canton*|cantão|cantón*|fan-yu|fan-yü|ghwanzw|gu'angazu|guanchjou|guanchzhou|guanczou|guand'ou|guandzhou|guandzou|guandžou|guang zhou*|guang zhou shi*|guangdzou|guangdzov|guangdžou|guangdžov|guangjow|guangsu|guangzhou|guangzhou shi|guanjou|guanzhou|guančžou|guaңҗu|guong-ciu|guyanjho|guōng-ciŭ|guǎngzhōu|gvangajho'u|gvangjcouh|gvanjea|gwang jw*|gwangjeou|gwangjeou si|gwangzhw|gwong zau|hiroshu|hiroshū|kanton*|kantono|kantwn*|kng-chiu-chhi|kong-chu-su*|koshu*|kouan'nktsoou|kouang-chou|kuang-chou|kuang-chou-shih|kuvanco|kvangacau|kwang cow|kwang-chowfu|kwangchow|kwangtsjou|kwong chau|kóng-chû-sṳ*|kńg-chiu-chhī|kōshū*|p'an-yu|puyun|puyün|p’an-yü|quancheum|quancjou|quang chau|quançjou|quảng châu|shengcheng|shynyang|гуангџоу|гуанджоу|гуандьоу|гуанжоу|гуанчжоу|гуанчжоў|гуаңҗу|кантон*
Kinshasa	cd	jin sha sa|jin xia sha|kin cha sa|kinasasa|kincasa|kinchasa|kinchassa|kinsaca|kinsas|kinsasa|kinsaso|kinshasa|kinshase|kinsjasa|kinsyasa|kinszasa|kinsásá|kinxasa|kinŝaso|kinşasa|kinšas|kinšasa|knshasa|kynshasa|kînşasa|lei bao cheng|leopoldstad|leopoldville|léopoldville|quinxassa|киншаса|киншасе|кіншаса
Istanbul	tr	astanbwl|astnbwl|bijantium|bizanc|bizánc|byuzandion|byuzantion|byzance|byzantion|byzantium|byzanz|byzntywn|carigrad|constantinoble|constantinopla|constantinople|constantinopolen|constantinopoli|constantinopolis|costantinopoli|estambul|isatambula|iseutanbul|istamboul|istambul|istambula|istambuł|istampoul|istanbu|istanbul|istanbúl|isutanburu|isztambul|konstantinapoly|konstantinopel|konstantinopol|konstantinopolo|konstantinoupoli|konstantinoupolis|konstantinápoly|kostandnupolis|kustantiniyah|micklagard|micklagård|mikligardur|mikligarður|stambol|stamboul|stambul|stambula|stambuł|stambұl|tsarigrad|vizantija (vizantija)|vyzantio|yi si tan bao|yi si tan bu er|византија (vizantija)|истанбул|стамбол|стамбул|стамбұл
Lagos	ng	eko|la ge si|lacupolis|lagas|lageas|laghws|lagos*|lagos shaary|lagosa|lagosas|lagoseu|lagosi|lagoso|laguosos|laguseu|lagws|lajws|lakos|laqos|legosa|lek xs|logos|ragosu|èkó|лагас|лагос|лагос шаары|лаґос
Ho Chi Minh City	vn	cathair ho chi minh|cidade de ho chi minh|ciudad ho chi minh|gia gjinh|gia định|hcm|hcm city|hcmc|hcmv|ho chi minh|ho chi minh city|ho chi minh ville|ho chi minh-borg|ho chi minh-byen|ho chi minh-staden|ho chi minhin kaupunki|ho chi minhstad|ho ci minovo mesto|ho si min|ho si min grad|ho si minh-varos|ho si minh-város|ho či minovo město|ho ši min|ho ši min grad|ho-chi-minh-stadt|ho-chi-minh-ville|ho-ci-min-urbo|ho-ĉi-min-urbo|hochimin|hochimin shi|hociminovo mesto|hojjimin|hosimin|hosimina|hosiminh|hočiminovo mesto|hoşimin|hošimina|hošiminh|hu zhi ming shi|hw z'y myn syty|hô chi minh ville|hô-chi-minh-ville|hồ chí minhin kaupunki|khashymin|kho shi min|khoshimin|kota ho chi minh|kota hồ chí minh|mdynt hw tshy mynh|sai gon*|saigon|sajgon|saygwn|sayqon|saïgon|sài gòn*|t.p. ho chi minh|t.p. hồ chí minh|thanh pho ho chi minh|thành phố hồ chí minh|tp ho chi minh|tphcm|сайгон|сајгон|хашымін|хо ши мин|хошимин|хошимін
Chengdu	cn	ccheng-tu|cendu|cengadu|cengdu|cengduo|centu|ch'eng-tu|ch'eng-tu-hsien|ch'eng-tu-shih|chantu|chehndu|cheing tu|chendu*|cheng dou|cheng dou shi|chengdu|chengdu shi|chengdú|cheongdu si|chng dw|chngdw|chundu|chyngdw|chөndү|ch’eng-tu|ch’eng-tu-hsien|ch’eng-tu-shih|csengtu|cwngzduh|hua-yang|sang-tu-su|seng-to-chhi|sing-du|sàng-tû-sṳ|sêng-to͘-chhī|sìng-dŭ|thanh do|thành đô|tian fu|tianfu|tin fu|tsen'nkntou|tshnghdw|txengdu|zngdw|çengdu|ĉengduo|čcheng-tu|čendu|čengdu|ченгду|ченду|чънду|чыңду|чэнду|чөндү
Lahore	pk	la h xr|la he er|lachori|lahaur|lahaura|laholeu|lahor|lahora*|lahoras|lahore|lahori|lahorium|lahoro|lahwr|lakhor|lakur|lohur|láhaur|lâhore|lāhaur|rahoru|лахор
